127.0.0.1 - - [26/Aug/2023:13:25:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Aug/2023:13:25:04 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [26/Aug/2023:13:25:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Aug/2023:13:25:17 +0530] "POST /CRUD_V1/Delete_student HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:36:05 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:38:10 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:42:34 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:42:36 +0530] "GET /CRUD_V1/Read HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:48:31 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:50:12 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:50:42 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:50:43 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:51:14 +0530] "GET /CRUD_V1/Delete_Student HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:51:32 +0530] "GET /CRUD_V1/Read HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:54:29 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:54:30 +0530] "GET /CRUD_V1/Delete_Student.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:56:20 +0530] "GET /CRUD_V1/Delete_Student.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [26/Aug/2023:14:56:56 +0530] "POST /CRUD_V1/Delete_student HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:02:13 +0530] "GET /CRUD_V1/Read HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:02:20 +0530] "GET /CRUD_V1/Delete_Student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:02:23 +0530] "POST /CRUD_V1/Delete_student HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:04:07 +0530] "GET /CRUD_V1/Delete_Student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:04:10 +0530] "POST /CRUD_V1/Delete_student HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:04:14 +0530] "GET /CRUD_V1/Read HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:08:11 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:08:23 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:08:29 +0530] "GET /CRUD_V1/Update.html HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:13:06 +0530] "GET /CRUD_V1/Update.html HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:13:08 +0530] "GET /CRUD_V1/Update.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:13:12 +0530] "POST /CRUD_V1/Update_Student HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:14:36 +0530] "GET /CRUD_V1/Update.html HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:15:19 +0530] "GET /CRUD_V1/Update.html HTTP/1.1" 200 1647
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:17:22 +0530] "GET /CRUD_V1/Update.html HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:28:07 +0530] "POST /CRUD_V1/save_student HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:28:21 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:28:51 +0530] "POST /CRUD_V1/save_student HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:28:54 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:28:56 +0530] "GET /CRUD_V1/Read HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:29:04 +0530] "GET /CRUD_V1/Delete_Student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:29:14 +0530] "POST /CRUD_V1/Delete_student HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:29:17 +0530] "GET /CRUD_V1/Read HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:29:25 +0530] "GET /CRUD_V1/Update.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:30:37 +0530] "GET /CRUD_V1/Update.html HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:30:56 +0530] "POST /CRUD_V1/Update_Student HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:31:05 +0530] "GET /CRUD_V1/Update.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:31:07 +0530] "GET /CRUD_V1/Read HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:31:12 +0530] "GET /CRUD_V1/Read HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:31:29 +0530] "GET /CRUD_V1/Update.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:31:42 +0530] "POST /CRUD_V1/Update_Student HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:31:49 +0530] "GET /CRUD_V1/New_Registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:15:31:50 +0530] "GET /CRUD_V1/Read HTTP/1.1" 200 432
